DATE,FOOD,CALORIES
22-07-25,Paratha with Ghee,450
22-07-25,Chicken Curry,600
22-07-25,Rice,400
22-07-25,Ice Cream,300
22-07-25,Milkshake,350
23-07-25,Dosa with Chutney,350
23-07-25,Veg Pulao,400
23-07-25,Dal Fry,350
23-07-25,Tea with Sugar,150
23-07-25,Chocolate Bar,250
23-07-25,Cheese Sandwich,250
23-07-25,Orange Juice,250
24-07-25,Aloo Paratha,500
24-07-25,Butter Chicken,700
24-07-25,Naan,300
24-07-25,Rasgulla,250
24-07-25,Cold Coffee,300
24-07-25,Chips,450
25-07-25,Pizza,700
25-07-25,Pasta,600
25-07-25,Garlic Bread,300
25-07-25,Coke,250
25-07-25,Brownie,350
25-07-25,Chocolate Shake,650
26-07-25,Chole Bhature,600
26-07-25,Sweet Lassi,400
26-07-25,Fried Rice,550
26-07-25,Pastry,330
26-07-25,Coffee with Sugar,150
26-07-25,Chocolate,200
04-08-25,Pizza,200
04-08-25,Pizza,200
04-08-25,pizza,123
04-08-25,pizza,299
04-08-25,Rice,200
05-08-25,MANDHI,1000
05-08-25,MANDHI,1000
